* description: Population data. Datasource for the Past: WDI. Datasource for the Future: SSP. Calibrated to WDI
* unit: million
* origin: calcOutput(type = "Population", aggregate = FALSE) (moinput package 2.96)
* creation date: Wed Aug 12 11:23:25 2015
Year,ISO2_WB_CODE,pop_SSP2
y2015,PSE,4.22682305306043
y2015,PYF,0.283008329678029
y2015,QAT,2.29454888231648
y2015,REU,0
y2015,ROU,19.9178411520752
y2015,RUS,142.099444724305
y2015,RWA,12.4109883681823
y2015,SAU,30.8633377332767
y2015,SDN,39.9971213251405
y2015,SEN,14.6266923686276
y2015,SGP,5.51247201836684
y2015,SGS,0
y2015,SHN,0
y2015,SJM,0
y2015,SLB,0.589616814079819
y2015,SLE,6.45838449383592
y2015,SLV,6.32950644867958
y2015,SMR,0
y2015,SOM,10.6252865408539
y2015,SPM,0
y2015,SRB,7.23473104282902
y2015,SSD,0
y2015,STP,0.189573054619583
y2015,SUR,0.548908355558708
y2015,SVK,5.46691286304138
y2015,SVN,2.08466043600529
y2015,SWE,9.77390998363404
y2015,SWZ,1.2706236632541
y2015,SXM,0
y2015,SYC,0
y2015,SYR,23.4923705665052
y2015,TCA,0
y2015,TCD,13.3743838859064
y2015,TGO,6.95909504041509
y2015,THA,68.3154037941317
y2015,TJK,8.02558296828807
y2015,TKL,0
y2015,TKM,5.32907609919513
y2015,TLS,1.18052822913798
y2015,TON,0.106507464215694
y2015,TTO,1.34712433661242
y2015,TUN,11.069949933308
y2015,TUR,76.3907405598189
y2015,TUV,0
y2015,TWN,0
y2015,TZA,51.5034544736029
y2015,UGA,39.7776336383037
y2015,UKR,44.5331346638814
y2015,UMI,0
y2015,URY,3.40506496953969
y2015,USA,321.734960180565
y2015,UZB,30.042385679045
y2015,VAT,0
y2015,VCT,0.109706082432434
y2015,VEN,31.2321593320149
y2015,VGB,0
y2015,VIR,0.108813060174962
y2015,VNM,91.4120164089834
y2015,VUT,0.263514762322625
y2015,WLF,0
y2015,WSM,0.187995684414015
y2015,YEM,26.400642280461
y2015,ZAF,53.2923051847055
y2015,ZMB,15.109471503467
y2015,ZWE,13.2835024816261
